poem	emotion1	emotion2
Liebe! Liebe! Lass mich los!	Sadness	Vitality
»Nehmt hin die Welt!« rief Zeus von seinen Höhen	Vitality	Suspense
Den Menschen zu. »Nehmt, sie soll euer sein!	Vitality	Suspense
Euch schenk ich sie zum Erb und ewgen Lehen -	Vitality	Suspense
Doch teilt euch brüderlich darein!«	Vitality	Suspense
Da eilt', was Hände hat, sich einzurichten,	Vitality	Beauty / Joy
Es regte sich geschäftig jung und alt.	Vitality	Beauty / Joy
Der Ackermann griff nach des Feldes Früchten,	Vitality	Beauty / Joy
Der Junker birschte durch den Wald.	Vitality	Beauty / Joy
Der Kaufmann nimmt, was seine Speicher fassen,	Annoyance	Beauty / Joy
Der Abt wählt sich den edeln Firnewein,	Annoyance	Beauty / Joy
Der König sperrt die Brücken und die Straßen	Annoyance	Beauty / Joy
Und sprach: »Der Zehente ist mein.«	Annoyance	Beauty / Joy
Ganz spät, nachdem die Teilung längst geschehen,	Sadness	Suspense
Naht der Poet, er kam aus weiter Fern -	Sadness	Suspense
Ach! da war überall nichts mehr zu sehen,	Sadness	Humor
Und alles hatte seinen Herrn!	Sadness	Humor
»Weh mir! So soll denn ich allein von allen	Sadness	Sadness
Vergessen sein, ich, dein getreuster Sohn?«	Sadness	Sadness
So ließ er laut der Klage Ruf erschallen	Sadness	Sadness
Und warf sich hin vor Jovis Thron.	Sadness	Sadness
»Wenn du im Land der Träume dich verweilet«,	Beauty / Joy	Awe / Sublime
Versetzt der Gott, »so hadre nicht mit mir.	Beauty / Joy	Awe / Sublime
Wo warst du denn, als man die Welt geteilet?«	Beauty / Joy	Awe / Sublime
»Ich war«, sprach der Poet, »bei dir.«	Awe / Sublime	Awe / Sublime
Mein Auge hing an deinem Angesichte,	Beauty / Joy	Beauty / Joy
An deines Himmels Harmonie mein Ohr -	Beauty / Joy	Beauty / Joy
Verzeih dem Geiste, der, von deinem Lichte	Beauty / Joy	Beauty / Joy
Berauscht, das Irdische verlor!«	Beauty / Joy	Beauty / Joy
»Was tun?« spricht Zeus, »die Welt ist weggegeben,	Beauty / Joy	Awe / Sublime
Der Herbst, die Jagd, der Markt ist nicht mehr mein.	Beauty / Joy	Awe / Sublime
Willst du in meinem Himmel mit mir leben -	Beauty / Joy	Awe / Sublime
So oft du kommst, er soll dir offen sein.«	Beauty / Joy	Awe / Sublime
Freude war in Trojas Hallen,	Beauty / Joy	Beauty / Joy
Eh die hohe Feste fiel;	Beauty / Joy	Beauty / Joy
Jubelhymnen hört man schallen	Beauty / Joy	Beauty / Joy
In der Saiten goldnes Spiel;	Beauty / Joy	Beauty / Joy
Alle Hände ruhen müde	Beauty / Joy	Beauty / Joy
Von dem thränenvollen Streit,	Beauty / Joy	Beauty / Joy
Weil der herrliche Pelide	Beauty / Joy	Beauty / Joy
Priams schöne Tochter freit.	Beauty / Joy	Beauty / Joy
Und geschmückt mit Lorberreisern,	Beauty / Joy	Suspense
Festlich wallet Schaar auf Schaar	Beauty / Joy	Suspense
Nach der Götter heil'gen Häusern,	Beauty / Joy	Suspense
Zu des Thymbriers Altar.	Beauty / Joy	Suspense
Dumpf erbrausend durch die Gassen	Beauty / Joy	Sadness
Wälzt sich die bacchant'sche Lust,	Beauty / Joy	Sadness
Und in ihrem Schmerz verlassen	Sadness	Sadness
War nur eine traur'ge Brust.	Sadness	Sadness
Freudlos in der Freude Fülle,	Sadness	Sadness
Ungesellig und allein,	Sadness	Sadness
Wandelte Kassandra stille	Sadness	Sadness
In Apollos Lorbeerhain.	Sadness	Sadness
In des Waldes tiefste Gründe	Sadness	Suspense
Flüchtete die Seherin,	Sadness	Suspense
Und sie warf die Priesterbinde	Sadness	Suspense
Zu der Erde zürnend hin:	Sadness	Suspense
Alles ist der Freude offen,	Sadness	Sadness
Alle Herzen sind beglückt,	Sadness	Sadness
Und die alten Eltern hoffen,	Sadness	Sadness
Und die Schwester steht geschmückt.	Sadness	Sadness
Ich allein muß einsam trauern,	Sadness	Sadness
Denn mich flieht der süße Wahn,	Sadness	Sadness
Und geflügelt diesen Mauern	Sadness	Sadness
Seh' ich das Verderben an.	Sadness	Sadness
Eine Fackel seh' ich glühen,	Suspense	Uneasiness
Aber nicht in Hymens Hand;	Suspense	Uneasiness
Nach den Wolken seh' ich ziehen,	Suspense	Uneasiness
Aber nicht wie Opferbrand.	Suspense	Uneasiness
Feste seh' ich froh bereiten,	Suspense	Uneasiness
Doch im ahnungsvollen Geist	Suspense	Uneasiness
Hör' ich schon des Gottes Schreiten,	Suspense	Uneasiness
Der sie jammervoll zerreißt.	Suspense	Uneasiness
Und sie schelten meine Klagen,	Sadness	Sadness
Und sie höhnen meinen Schmerz.	Sadness	Sadness
Einsam in die Wüste tragen	Sadness	Sadness
Muß ich mein gequältes Herz,	Sadness	Sadness
Von den Glücklichen gemieden	Sadness	Sadness
Und den Fröhlichen ein Spott!	Sadness	Sadness
Schweres hast du mir beschieden,	Sadness	Sadness
Pythischer, du arger Gott!	Sadness	Sadness
Dein Orakel zu verkünden,	Sadness	Sadness
Warum warfest du mich hin	Sadness	Sadness
In die Stadt der ewig Blinden	Sadness	Sadness
Mit dem aufgeschloßnen Sinn?	Sadness	Sadness
Warum gabst du mir zu sehen,	Sadness	Sadness
Was ich doch nicht wenden kann?	Sadness	Sadness
Das Verhängte muß geschehen,	Sadness	Sadness
Das Gefürchtete muß nahn.	Sadness	Sadness
Frommt's, den Schleier aufzuheben,	Sadness	Sadness
Wo das nahe Schreckniß droht?	Sadness	Sadness
Nur der Irrthum ist das Leben,	Sadness	Sadness
Und das Wissen ist der Tod.	Sadness	Sadness
Nimm, o nimm die traur'ge Klarheit,	Sadness	Vitality
Mir vom Aug den blut'gen Schein!	Sadness	Vitality
Schrecklich ist es, deiner Wahrheit	Sadness	Vitality
Sterbliches Gefäß zu sein.	Sadness	Vitality
Meine Blindheit gib mir wieder	Sadness	Vitality
Und den fröhlich dunklen Sinn!	Sadness	Vitality
Nimmer sang ich freud'ge Lieder,	Sadness	Vitality
Seit ich deine Stimme bin.	Sadness	Vitality
Zukunft hast du mir gegeben,	Sadness	Vitality
Doch du nahmst den Augenblick,	Sadness	Vitality
Nahmst der Stunde fröhlich Leben -	Sadness	Vitality
Nimm dein falsch Geschenk zurück!	Sadness	Vitality
Nimmer mit dem Schmuck der Bräute,	Sadness	Sadness
Kränzt' ich mir das duft'ge Haar,	Sadness	Sadness
Seit ich deinem Dienst mich weihte	Sadness	Sadness
An dem traurigen Altar.	Sadness	Sadness
Meine Jugend war nur Weinen,	Sadness	Sadness
Und ich kannte nur den Schmerz,	Sadness	Sadness
Jede herbe Noth der Meinen	Sadness	Sadness
Schlug an mein empfindend Herz.	Sadness	Sadness
Fröhlich seh' ich die Gespielen,	Sadness	Sadness
Alles um mich lebt und liebt	Sadness	Sadness
In der Jugend Lustgefühlen,	Sadness	Sadness
Mir nur ist das Herz getrübt.	Sadness	Sadness
Mir erscheint der Lenz vergebens,	Sadness	Sadness
Der die Erde festlich schmückt;	Sadness	Sadness
Wer erfreute sich des Lebens,	Sadness	Sadness
Der in seine Tiefen blickt!	Sadness	Sadness
Selig preis' ich Polyxenen	Vitality	Vitality
In des Herzens trunknem Wahn,	Vitality	Vitality
Denn den Besten der Hellenen	Vitality	Vitality
Hofft sie bräutlich zu umfahn.	Vitality	Vitality
Stolz ist ihre Brust gehoben,	Vitality	Vitality
Ihre Wonne faßt sie kaum,	Vitality	Vitality
Nicht euch, Himmlische dort oben,	Vitality	Vitality
Neidet sie in ihrem Traum.	Vitality	Vitality
Und auch ich hab' ihn gesehen,	Beauty / Joy	Suspense
Den das Herz verlangend wählt!	Beauty / Joy	Suspense
Seine schönen Blicke flehen,	Beauty / Joy	Beauty / Joy
Von der Liebe Gluth beseelt.	Beauty / Joy	Beauty / Joy
Gerne möcht' ich mit dem Gatten	Sadness	Sadness
In die heim'sche Wohnung ziehn;	Sadness	Sadness
Doch es tritt ein styg'scher Schatten	Sadness	Sadness
Nächtlich zwischen mich und ihn.	Sadness	Sadness
Ihre bleichen Larven alle	Sadness	Sadness
Sendet mir Proserpina;	Sadness	Sadness
Wo ich wandre, wo ich walle,	Sadness	Sadness
Stehen mir die Geister da.	Sadness	Sadness
In der Jugend frohe Spiele	Sadness	Sadness
Drängen sie sich grausend ein,	Sadness	Sadness
Ein entsetzliches Gewühle!	Sadness	Sadness
Nimmer kann ich fröhlich sein.	Sadness	Sadness
Und den Mordstahl seh' ich blinken	Uneasiness	Uneasiness
Und das Mörderauge glühn;	Uneasiness	Uneasiness
Nicht zur Rechten, nicht zur Linken	Uneasiness	Uneasiness
Kann ich vor dem Schreckniß fliehn;	Uneasiness	Uneasiness
Nicht die Blicke darf ich wenden,	Uneasiness	Uneasiness
Wissend, schauend, unverwandt	Uneasiness	Uneasiness
Muß ich mein Geschick vollenden	Uneasiness	Uneasiness
Fallend in dem fremden Land -	Uneasiness	Uneasiness
Und noch hallen ihre Worte -	Uneasiness	Uneasiness
Horch! da dringt verworrner Ton	Uneasiness	Uneasiness
Fernher aus des Tempels Pforte,	Uneasiness	Uneasiness
Todt lag Thetis' großer Sohn!	Uneasiness	Uneasiness
Eris schüttelt ihre Schlangen,	Uneasiness	Uneasiness
Alle Götter fliehn davon,	Uneasiness	Uneasiness
Und des Donners Wolken hangen	Uneasiness	Uneasiness
Schwer herab auf Ilion.	Uneasiness	Uneasiness
Stand ein Mädchen an dem Fenster,	Beauty / Joy	Beauty / Joy
Da es draußen Morgen war,	Beauty / Joy	Beauty / Joy
Kämmte sich die langen Haare,	Beauty / Joy	Beauty / Joy
Wusch sich ihre Äuglein klar.	Beauty / Joy	Beauty / Joy
Sangen Vöglein aller Arten,	Beauty / Joy	Beauty / Joy
Sonnenschein spielt' vor dem Haus,	Beauty / Joy	Beauty / Joy
Draußen überm schönen Garten	Beauty / Joy	Beauty / Joy
Flogen Wolken weit hinaus.	Beauty / Joy	Beauty / Joy
Und sie dehnt' sich in den Morgen,	Beauty / Joy	Beauty / Joy
Als ob sie noch schläfrig sei,	Beauty / Joy	Beauty / Joy
Ach, sie war so voller Sorgen,	Beauty / Joy	Beauty / Joy
Flocht ihr Haar und sang dabei:	Beauty / Joy	Beauty / Joy
?Wie ein Vöglein hell und reine,	Beauty / Joy	Beauty / Joy
Ziehet draußen muntre Lieb,	Beauty / Joy	Beauty / Joy
Lockt hinaus zum Sonnenscheine,	Beauty / Joy	Beauty / Joy
Ach, wer da zu Hause blieb?!?	Beauty / Joy	Beauty / Joy
Ich wandre durch die stille Nacht,	Beauty / Joy	Beauty / Joy
Da schleicht der Mond so heimlich sacht	Beauty / Joy	Beauty / Joy
Oft aus der dunklen Wolkenhülle,	Beauty / Joy	Beauty / Joy
Und hin und her im Tal	Beauty / Joy	Beauty / Joy
Erwacht die Nachtigall,	Beauty / Joy	Beauty / Joy
Dann wieder alles grau und stille.	Beauty / Joy	Beauty / Joy
O wunderbarer Nachtgesang:	Beauty / Joy	Beauty / Joy
Von fern im Land der Ströme Gang,	Beauty / Joy	Beauty / Joy
Leis Schauern in den dunklen Bäumen -	Beauty / Joy	Beauty / Joy
Wirrst die Gedanken mir,	Beauty / Joy	Beauty / Joy
Mein irres Singen hier	Beauty / Joy	Beauty / Joy
Ist wie ein Rufen nur aus Träumen.	Beauty / Joy	Beauty / Joy
Es war, als hätt' der Himmel	Beauty / Joy	Beauty / Joy
Die Erde still geküßt,	Beauty / Joy	Beauty / Joy
Daß sie im Blütenschimmer	Beauty / Joy	Beauty / Joy
Von ihm nun träumen müßt'.	Beauty / Joy	Beauty / Joy
Die Luft ging durch die Felder,	Beauty / Joy	Beauty / Joy
Die Ähren wogten sacht,	Beauty / Joy	Beauty / Joy
Es rauschten leis die Wälder,	Beauty / Joy	Beauty / Joy
So sternklar war die Nacht.	Beauty / Joy	Beauty / Joy
Und meine Seele spannte	Beauty / Joy	Awe / Sublime
Weit ihre Flügel aus,	Beauty / Joy	Awe / Sublime
Flog durch die stillen Lande,	Beauty / Joy	Awe / Sublime
Als flöge sie nach Haus.	Beauty / Joy	Awe / Sublime
Was sind wir Menschen doch! Ein Wohnhaus grimmer Schmerzen.	Sadness	Sadness
Ein Ball des falschen Glücks, ein Irrlicht dieser Zeit,	Sadness	Sadness
Ein Schauplatz herber Angst, besetzt mit scharfem Leid.	Sadness	Sadness
Ein bald verschmelzter Schnee und abgebrannte Kerzen.	Sadness	Sadness
Dies Leben fleucht davon wie ein Geschwätz und Scherzen.	Sadness	Sadness
Die vor uns abgelegt des schwachen Leibes Kleid	Sadness	Sadness
Und in das Totenbuch der großen Sterblichkeit	Sadness	Sadness
Längst eingeschrieben sind, sind uns aus Sinn und Herzen.	Sadness	Sadness
Gleich wie ein eitel Traum leicht aus der Acht hinfällt	Sadness	Sadness
Und wie ein Strom verscheußt, den keine Macht aufhält,	Sadness	Sadness
So muß auch unser Nam, Lob, Ehr und Ruhm verschwinden.	Sadness	Sadness
Was itzund Atem holt, muß mit der Luft entfliehn;	Sadness	Sadness
Was nach uns kommen wird, wird uns ins Grab nachziehn.	Sadness	Sadness
Was sag ich? wir vergehn, wie Rauch von starken Winden.	Sadness	Sadness
Im düstern Auge keine Träne	Annoyance	Uneasiness
Sie sitzen am Webstuhl und fletschen die Zähne:	Annoyance	Uneasiness
Deutschland, wir weben dein Leichentuch,	Annoyance	Uneasiness
Wir weben hinein den dreifachen Fluch -	Annoyance	Uneasiness
Wir weben, wir weben!	Annoyance	Uneasiness
Ein Fluch dem Gotte, zu dem wir gebeten	Annoyance	Annoyance
In Winterskälte und Hungersnöten;	Annoyance	Annoyance
Wir haben vergebens gehofft und geharrt,	Annoyance	Annoyance
Er hat uns geäfft und gefoppt und genarrt -	Annoyance	Annoyance
Wir weben, wir weben!	Annoyance	Annoyance
Ein Fluch dem König, dem König der Reichen,	Annoyance	Annoyance
Den unser Elend nicht konnte erweichen	Annoyance	Annoyance
Der den letzten Groschen von uns erpreßt	Annoyance	Annoyance
Und uns wie Hunde erschiessen läßt -	Annoyance	Annoyance
Wir weben, wir weben!	Annoyance	Annoyance
Ein Fluch dem falschen Vaterlande,	Annoyance	Annoyance
Wir nur gedeihen Schmach und Schande,	Annoyance	Annoyance
Wo jede Blume früh geknickt,	Annoyance	Annoyance
Wo Fäulnis und Moder den Wurm erquickt -	Annoyance	Annoyance
Wir weben, wir weben!	Annoyance	Annoyance
Das Schiffchen fliegt, der Webstuhl kracht,	Annoyance	Uneasiness
Wir weben emsig Tag und Nacht -	Annoyance	Uneasiness
Altdeutschland, wir weben dein Leichentuch,	Annoyance	Uneasiness
Wir weben hinein den dreifachen Fluch,	Annoyance	Uneasiness
Wir weben, wir weben!	Annoyance	Uneasiness
Es treibt vorüber mir im Meer der Stadt	Sadness	Sadness
Bald der, bald jener, einer nach dem andern.	Sadness	Sadness
Ein Blick ins Auge, und vorüber schon.	Sadness	Sadness
Der Orgeldreher dreht sein Lied.	Sadness	Sadness
Es tropft vorüber mir ins Meer des Nichts	Sadness	Sadness
Bald der, bald jener, einer nach dem andern.	Sadness	Sadness
Ein Blick auf seinen Sarg, vorüber schon.	Sadness	Sadness
Der Orgeldreher dreht sein Lied.	Sadness	Sadness
Es schwimmt ein Leichenzug im Meer der Stadt,	Sadness	Sadness
Querweg die Menschen, einer nach dem andern.	Sadness	Sadness
Ein Blick auf meinen Sarg, vorüber schon.	Sadness	Sadness
Der Orgeldreher dreht sein Lied.	Sadness	Sadness
Wie soll ich meine Seele halten, daß	Sadness	Sadness
sie nicht an deine rührt? Wie soll ich sie	Sadness	Sadness
hinheben über dich zu andern Dingen?	Sadness	Sadness
Ach gerne möcht ich sie bei irgendwas	Sadness	Sadness
Verlorenem im Dunkel unterbringen	Sadness	Sadness
an einer fremden stillen Stelle, die	Sadness	Sadness
nicht weiterschwingt, wenn deine Tiefen schwingen.	Sadness	Sadness
Doch alles, was uns anrührt, dich und mich,	Awe / Sublime	Beauty / Joy
nimmt uns zusammen wie ein Bogenstrich,	Awe / Sublime	Beauty / Joy
der aus zwei Saiten eine Stimme zieht.	Awe / Sublime	Beauty / Joy
Auf welches Instrument sind wir gespannt?	Awe / Sublime	Beauty / Joy
Und welcher Spieler hat uns in der Hand?	Awe / Sublime	Beauty / Joy
O süßes Lied.	Awe / Sublime	Beauty / Joy
Mein Tagwerk ist: im engen Kesselrohr	Uneasiness	Uneasiness
bei kleinem Glühlicht kniend krumm zu sitzen ?	Uneasiness	Uneasiness
an Nieten hämmernd in der Hitze schwitzen.	Uneasiness	Uneasiness
Verrußt sind Aug` und Haar und Ohr ?	Uneasiness	Uneasiness
Als wär ich nur ein kleiner Schlagmotor,	Annoyance	Annoyance
So lass` ich meine Arme federnd flitzen ?	Annoyance	Annoyance
Die glühnde Luft sticht wie mit giftigen Spitzen;	Annoyance	Uneasiness
Immer von neuem bricht der Schweiß hervor...	Annoyance	Uneasiness
O Mensch! Wo bist du? Wie ein Käfertier	Annoyance	Annoyance
Im Bernstein eingeschlossen hockst du rings im Eisen,	Annoyance	Annoyance
Eisen umpanzert dich in schließendem Gewirr.	Annoyance	Annoyance
Im Auge rast die Seele, arm und irr.	Sadness	Sadness
Heimweh heult wahnsinnswild, Heimweh weint süße Weisen	Sadness	Sadness
Nach Erde, Mensch und Licht. So schrei doch, Mensch im Eisen!	Sadness	Sadness
Beteerte Fässer rollten von den Schwellen	Uneasiness	Uneasiness
Der dunklen Speicher auf die hohen Kähne.	Uneasiness	Uneasiness
Die Schlepper zogen an. Des Rauches Mähne	Uneasiness	Uneasiness
Hing rußig nieder auf die öligen Wellen.	Uneasiness	Uneasiness
Zwei Dampfer kamen mit Musikkapellen.	Vitality	Vitality
Den Schornstein kappten sie am Brückenbogen.	Vitality	Vitality
Rauch, Ruß, Gestank lag auf den schmutzigen Wogen	Vitality	Uneasiness
Der Gerbereien mit den braunen Fellen.	Vitality	Uneasiness
In allen Brücken, drunter uns die Zille	Vitality	Vitality
Hindurchgebracht, ertönten die Signale	Vitality	Vitality
Gleichwie in Trommeln wachsend in der Stille.	Vitality	Vitality
Wir ließen los und trieben im Kanale	Beauty / Joy	Beauty / Joy
An Gärten langsam hin. In dem Idylle	Beauty / Joy	Beauty / Joy
Sahn wir der Riesenschlote Nachtfanale.	Beauty / Joy	Beauty / Joy
Der Himmel fließt in steinernen Kanälen;	Beauty / Joy	Beauty / Joy
Denn zu Kanälen steilrecht ausgehauen	Beauty / Joy	Beauty / Joy
Sind alle Straßen, voll vom Himmelblauen;	Beauty / Joy	Beauty / Joy
Und Kuppeln gleichen Bojen, Schlote Pfählen	Beauty / Joy	Beauty / Joy
Im Wasser. Schwarze Essendämpfe schwelen	Uneasiness	Uneasiness
Und sind wie Wasserpflanzen anzuschauen.	Uneasiness	Uneasiness
Die Leben, die sich ganz am Grunde stauen,	Beauty / Joy	Beauty / Joy
Beginnen sacht vom Himmel zu erzählen,	Beauty / Joy	Beauty / Joy
Gemengt, entwirrt nach blauen Melodien.	Beauty / Joy	Beauty / Joy
Wie eines Wassers Bodensatz und Tand	Beauty / Joy	Beauty / Joy
regt sie des Wassers Wille und Verstand	Beauty / Joy	Beauty / Joy
Im Dünen, Kommen, Gehen, Gleiten, Ziehen.	Beauty / Joy	Beauty / Joy
Die Menschen sind wie grober bunter Sand	Beauty / Joy	Beauty / Joy
Im linden Spiel der großen Wellenhand.	Beauty / Joy	Beauty / Joy
Im Hof, verhext von milchigem Dämmerschein,	Sadness	Uneasiness
Durch Herbstgebräuntes weiche Kranke gleiten.	Sadness	Uneasiness
Ihr wächsern-runder Blick sinnt goldner Zeiten,	Sadness	Beauty / Joy
Erfüllt von Träumerei und Ruh und Wein.	Sadness	Beauty / Joy
Ihr Siechtum schließt geisterhaft sich ein.	Sadness	Uneasiness
Die Sterne weiße Traurigkeit verbreiten.	Sadness	Sadness
Im Grau, erfüllt von Täuschung und Geläuten,	Sadness	Sadness
Sieh, wie die Schrecklichen sich wirr zerstreun.	Sadness	Sadness
Formlose Spottgestalten huschen, kauern	Uneasiness	Uneasiness
Und flattern sie auf schwarz-gekreuzten Pfaden.	Uneasiness	Uneasiness
O! trauervolle Schatten an den Mauern.	Uneasiness	Uneasiness
Die andern fliehn durch dunkelnde Arkaden;	Uneasiness	Uneasiness
Und nächtens stürzen sie aus roten Schauern	Uneasiness	Uneasiness
Des Sternenwinds, gleich rasenden Mänaden.	Uneasiness	Uneasiness
Die Finsternis raschelt wie ein Gewand,	Humor	Beauty / Joy
Die Bäume torkeln am Himmelsrand.	Humor	Beauty / Joy
Rette dich in das Herz der Nacht,	Uneasiness	Vitality
Grabe dich schnell in das Dunkele ein,	Uneasiness	Vitality
Wie in Waben. Mache dich klein,	Uneasiness	Vitality
Steige aus deinem Bette.	Uneasiness	Vitality
Etwas will über die Brücken,	Uneasiness	Uneasiness
Er scharret mit Hufen krumm,	Uneasiness	Uneasiness
Die Sterne erschraken so weiß.	Uneasiness	Uneasiness
Und der Mond wie ein Greis	Humor	Humor
Watschelt oben herum	Humor	Humor
Mit dem höckrigen Rücken.	Humor	Humor
Ein weißer Vogel ist der große Himmel.	Beauty / Joy	Suspense
Hart unter ihn geduckt stiert eine Stadt.	Uneasiness	Uneasiness
Die Häuser sind halbtote alte Leute.	Uneasiness	Uneasiness
Griesgrämig glotzt ein dünner Droschkenschimmel.	Uneasiness	Suspense
Und Winde, magre Hunde, rennen matt.	Uneasiness	Suspense
An scharfen Ecken quietschen ihre Häute.	Uneasiness	Uneasiness
In einer Straße stöhnt ein Irrer: Du, ach, du ?	Uneasiness	Sadness
Wenn ich dich endlich, o Geliebte, fände ...	Uneasiness	Sadness
Ein Haufen um ihn staunt und grinst voll Spott.	Uneasiness	Annoyance
Drei kleine Menschen spielen Blindekuh ?	Beauty / Joy	Sadness
Auf alles legt die grauen Puderhände	Beauty / Joy	Sadness
Der Nachmittag, ein sanft verweinter Gott.	Beauty / Joy	Sadness
Im schwarzen Spiegel der Kanäle zuckt	Beauty / Joy	Beauty / Joy
die bunte Lichterkette der Fabriken.	Beauty / Joy	Beauty / Joy
Die niedren Straßen sind bis zum Ersticken	Uneasiness	Uneasiness
mit Rauch geschwängert, den ein Windstoß niederduckt.	Uneasiness	Uneasiness
Ein Menschentrupp, vom Frohndienst abgehärmt,	Annoyance	Annoyance
schwankt schweigsam in die ärmlichen Kabinen;	Annoyance	Annoyance
indes sich in den qualmigen Kantinen	Annoyance	Annoyance
die tolle Jugend fuselselig lärmt.	Annoyance	Annoyance
Nocheinmal wirft der Drahtseilzug mit Kreischen	Uneasiness	Uneasiness
Den Schlackenschutt hinunter in die flachen	Uneasiness	Uneasiness
Gelände, drin der Schwefelsumpf erlischt.	Uneasiness	Uneasiness
Fern aber gähnen schon, vom Dampf umzischt,	Uneasiness	Uneasiness
des Walzwerks zwiegespaltne Feuerrachen ?	Uneasiness	Uneasiness
und harrn des Winks den Himmel zu zerfleischen.	Uneasiness	Uneasiness
Aus allen Winkeln gellen Fürchte Wollen	Uneasiness	Uneasiness
Kreisch	Uneasiness	Uneasiness
Peitscht	Uneasiness	Uneasiness
Das Leben	Uneasiness	Uneasiness
Vor	Uneasiness	Uneasiness
Sich	Uneasiness	Uneasiness
Her	Uneasiness	Uneasiness
Den keuchen Tod	Uneasiness	Uneasiness
Die Himmel fetzen.	Uneasiness	Uneasiness
Blinde schlächtert wildum das Entsetzen.	Uneasiness	Uneasiness
Dicht wie die Löcher eines Siebes stehn	Uneasiness	Uneasiness
Fenster beieinander, drängend fassen	Uneasiness	Uneasiness
Häuser sich so dicht an, daß die Straßen	Uneasiness	Uneasiness
Grau geschwollen wie Gewürgte stehn.	Uneasiness	Uneasiness
Ineinander dicht hineingehakt	Sadness	Beauty / Joy
Sitzen in den Trams die zwei Fassaden	Sadness	Beauty / Joy
Leute, ihre nahen Blicke baden	Sadness	Beauty / Joy
Ineinander, ohne Scheu befragt.	Sadness	Beauty / Joy
Unsre Wände sind so dünn wie Haut,	Sadness	Sadness
Daß ein jeder teilnimmt, wenn ich weine.	Sadness	Sadness
Unser Flüstern, Denken ... wird Gegröle ...	Sadness	Sadness
- Und wie still in dick verschlossner Höhle	Sadness	Awe / Sublime
Ganz unangerührt und ungeschaut	Sadness	Awe / Sublime
Steht ein jeder fern und fühlt: alleine	Sadness	Awe / Sublime
Im Frühlingsschatten fand ich Sie;	Suspense	Beauty / Joy
Da band ich Sie mit Rosenbändern:	Beauty / Joy	Beauty / Joy
Sie fühlt' es nicht, und schlummerte.	Beauty / Joy	Beauty / Joy
Ich sah Sie an; mein Leben hing	Beauty / Joy	Beauty / Joy
Mit diesem Blick' an Ihrem Leben:	Beauty / Joy	Beauty / Joy
Ich fühlt' es wohl, und wußt' es nicht.	Beauty / Joy	Beauty / Joy
Doch lispelt' ich Ihr sprachlos zu,	Beauty / Joy	Beauty / Joy
Und rauschte mit den Rosenbändern:	Beauty / Joy	Beauty / Joy
Da wachte Sie vom Schlummer auf.	Suspense	Beauty / Joy
Sie sah mich an; Ihr Leben hing	Beauty / Joy	Beauty / Joy
Mit diesem Blick' an meinem Leben,	Beauty / Joy	Beauty / Joy
Und um uns ward's Elysium.	Beauty / Joy	Beauty / Joy
Wie herrlich leuchtet	Vitality	Beauty / Joy
Mir die Natur!	Vitality	Beauty / Joy
Wie glänzt die Sonne!	Vitality	Beauty / Joy
Wie lacht die Flur!	Vitality	Beauty / Joy
Es dringen Blüten	Vitality	Vitality
Aus jedem Zweig	Vitality	Vitality
Und tausend Stimmen	Vitality	Vitality
Aus dem Gesträuch	Vitality	Vitality
Und Freud und Wonne	Vitality	Vitality
Aus jeder Brust.	Vitality	Vitality
O Erd', o Sonne,	Vitality	Vitality
O Glück, o Lust,	Vitality	Vitality
O Lieb', o Liebe,	Beauty / Joy	Beauty / Joy
So golden schön	Beauty / Joy	Beauty / Joy
Wie Morgenwolken	Beauty / Joy	Beauty / Joy
Auf jenen Höhn,	Beauty / Joy	Beauty / Joy
Du segnest herrlich	Beauty / Joy	Beauty / Joy
Das frische Feld -	Beauty / Joy	Beauty / Joy
Im Blütendampfe	Beauty / Joy	Beauty / Joy
Die volle Welt!	Beauty / Joy	Beauty / Joy
O Mädchen, Mädchen,	Vitality	Beauty / Joy
Wie lieb' ich dich!	Vitality	Beauty / Joy
Wie blinkt dein Auge,	Vitality	Beauty / Joy
Wie liebst du mich!	Vitality	Beauty / Joy
So liebt die Lerche	Beauty / Joy	Beauty / Joy
Gesang und Luft,	Beauty / Joy	Beauty / Joy
Und Morgenblumen	Beauty / Joy	Beauty / Joy
Den Himmelsduft,	Beauty / Joy	Beauty / Joy
Wie ich dich liebe	Beauty / Joy	Beauty / Joy
Mit warmem Blut,	Beauty / Joy	Beauty / Joy
Die du mir Jugend	Beauty / Joy	Beauty / Joy
Und Freud und Mut	Beauty / Joy	Beauty / Joy
Zu neuen Liedern	Beauty / Joy	Beauty / Joy
Und Tänzen gibst.	Beauty / Joy	Beauty / Joy
Sei ewig glücklich,	Beauty / Joy	Awe / Sublime
Wie du mich liebst.	Beauty / Joy	Awe / Sublime
Dem Schnee, dem Regen,	Vitality	Vitality
dem Wind entgegen,	Vitality	Vitality
im Dampf der Klüfte,	Vitality	Vitality
durch Nebeldüfte,	Vitality	Vitality
immer zu! Immer zu!	Vitality	Vitality
Ohne Rast und Ruh!	Vitality	Vitality
Lieber durch Leiden	Vitality	Vitality
möcht' ich mich schlagen,	Vitality	Vitality
also so viel Freuden	Vitality	Vitality
des Lebens ertragen.	Vitality	Vitality
Alle das Neigen	Vitality	Sadness
von Herzen zu Herzen,	Vitality	Sadness
ach, wie so eigen	Vitality	Sadness
schaffet das Schmerzen!	Vitality	Sadness
Wie - soll ich fliehen?	Vitality	Vitality
